# VRP Data - 50 Nodes
# Problem: Waste collection vehicle routing with 50 locations

# Sets
set NODES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50;
set VEHICLES := A B C;

# Parameters
param depot_node := 1;           # Node 1 is the depot (starting point)
param checkpoint_node := 50;       # Node 50 is the checkpoint (dump point, no waste)

# Distance Matrix (meters)
param distance :
       1      2      3      4      5      6      7      8      9     10
      11     12     13     14     15     16     17     18     19     20
      21     22     23     24     25     26     27     28     29     30
      31     32     33     34     35     36     37     38     39     40
      41     42     43     44     45     46     47     48     49     50 :=
  1      0    122    261    430    400    326    421    479    516    639
       822   1000    355    299    505    469    597    687    912   1097
      1198   1283   1076   1180    937   1032   1132    859    956    776
       874    566    652    384    488    573    747    672    878    967
      1175   1385   1126   1483   1282   1225   1064    972    773    864
  2    122      0    138    308    442    368    463    522    558    681
       864   1042    325    268    547    438    639    729    954   1139
      1240   1325   1118   1222    979   1074   1174    901    998    818
       916    535    622    353    458    543    716    641    920   1010
      1217   1427   1168   1525   1324   1267   1106   1014    742    833
  3    261    138      0    169    580    506    601    660    696    819
      1003   1180    463    407    685    577    777    867   1093   1277
      1378   1463   1257   1360   1118   1212   1313   1040   1136    956
      1054    673    760    491    596    681    855    779   1058   1148
      1355   1565   1306   1663   1462   1405   1245   1153    881    971
  4    430    308    169      0    306    490    586    644    681    804
       987   1165    632    576    670    746    762    851   1077   1262
      1363   1448   1241   1345   1102   1197   1297   1024   1120    941
      1039    843    929    661    765    850   1024    949   1043   1132
      1340   1549   1291   1648   1445   1389   1229   1137   1050   1140
  5    400    442    580    306      0    185    280    338    375    498
       681    859    675    618    364    535    456    546    771    956
      1057   1142    935   1039    796    891    991    718    815    635
       733    625    720    703    808    893    817    991    737    826
      1034   1243    985   1342   1139   1084    923    831   1092   1183
  6    326    368    506    490    185      0     95    154    190    313
       607    785    601    544    179    350    271    361    697    882
       983   1068    752    856    613    707    808    534    630    450
       548    440    535    629    734    819    633    917    552    642
       851   1169    802   1268    954    897    739    647    902    993
  7    421    463    601    586    280     95      0    209     95    218
       702    880    696    639     84    255    176    266    792    977
      1078   1163    657    761    518    612    713    439    535    355
       453    345    440    724    519    604    538    802    457    547
       756   1265    706    988    859    802    644    552    807    898
  8    479    522    660    644    338    154    209      0    114    151
       330    874    330    698    228    399    320    419    420    635
       637    722    584    688    445    540    640    583    679    499
       598    489    584    783    664    749    682    946    602    691
       683    824    634    918    790    732    788    696    951   1042
  9    516    558    696    681    375    190     95    114      0    123
       302    845    216    735    127    298    219    391    392    607
       609    694    556    660    417    511    612    592    689    398
       496    387    483    570    562    647    580    844    500    677
       655    796    605    890    762    704    766    594    850    940
 10    639    681    819    804    498    313    218    151    123      0
       179    723    339    982    249    420    341    268    269    484
       486    571    433    537    294    389    489    469    566    520
       619    630    605   1067   1171   1257    703   1355    623    554
       532    673    483    767    639    582    644    717   1456   1547
 11    822    864   1003    987    681    607    702    330    302    179
         0    145   1097   1041    786    957    878    327    279    241
       342    427    477    559    353    447    548    528    625    699
       797    689    784   1126   1230   1315    882   1414    801    613
       564    529    542    628    651    640    703    896   1515   1606
 12   1000   1042   1180   1165    859    785    880    874    845    723
       145      0   1275   1219    964   1135   1056    533    135     97
       198    283    332    414    376    471    656    551    648    722
       820    712    807   1303   1408   1493    905   1165    824    636
       419    385    663    483    507    660    723    919   1171   1262
