# VRP Data - 80 Nodes
# Problem: Waste collection vehicle routing with 80 locations

# Sets
set NODES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80;
set VEHICLES := A B C;

# Parameters
param depot_node := 1;           # Node 1 is the depot (starting point)
param checkpoint_node := 80;       # Node 80 is the checkpoint (dump point, no waste)

# Distance Matrix (meters)
param distance :
       1      2      3      4      5      6      7      8      9     10
      11     12     13     14     15     16     17     18     19     20
      21     22     23     24     25     26     27     28     29     30
      31     32     33     34     35     36     37     38     39     40
      41     42     43     44     45     46     47     48     49     50
      51     52     53     54     55     56     57     58     59     60
      61     62     63     64     65     66     67     68     69     70
      71     72     73     74     75     76     77     78     79     80 :=
  1      0    122    261    430    400    326    421    479    516    639
       822   1000    355    299    505    469    597    687    912   1097
      1198   1283   1076   1180    937   1032   1132    859    956    776
       874    566    652    384    488    573    747    672    878    967
      1175   1385   1126   1483   1282   1225   1064    972    773    864
       951   1057   1173   1315   1362   1672   1465   1408   1236   1152
      1033   1148   1247   1346   1489   1533   1758   1632   1568   1418
      1344   1995   1754   1719   1567   1604   2298    233    444    535
  2    122      0    138    308    442    368    463    522    558    681
       864   1042    325    268    547    438    639    729    954   1139
      1240   1325   1118   1222    979   1074   1174    901    998    818
       916    535    622    353    458    543    716    641    920   1010
      1217   1427   1168   1525   1324   1267   1106   1014    742    833
       920   1099   1215   1357   1404   1714   1507   1450   1278   1194
      1003   1117   1289   1388   1531   1575   1800   1674   1610   1460
      1386   2037   1796   1761   1609   1573   2340    202    414    504
  3    261    138      0    169    580    506    601    660    696    819
      1003   1180    463    407    685    577    777    867   1093   1277
      1378   1463   1257   1360   1118   1212   1313   1040   1136    956
      1054    673    760    491    596    681    855    779   1058   1148
      1355   1565   1306   1663   1462   1405   1245   1153    881    971
      1058   1237   1353   1496   1542   1853   1645   1589   1416   1333
      1141   1255   1428   1527   1669   1714   1938   1813   1749   1598
      1524   2176   1935   1899   1748   1711   2478    340    552    642
  4    430    308    169      0    306    490    586    644    681    804
       987   1165    632    576    670    746    762    851   1077   1262
      1363   1448   1241   1345   1102   1197   1297   1024   1120    941
      1039    843    929    661    765    850   1024    949   1043   1132
      1340   1549   1291   1648   1445   1389   1229   1137   1050   1140
      1228   1222   1338   1480   1527   1837   1630   1657   1401   1317
      1310   1425   1412   1511   1654   1698   1827   1797   1733   1582
      1509   2160   1919   1884   1732   1880   2463    509    721    812
  5    400    442    580    306      0    185    280    338    375    498
       681    859    675    618    364    535    456    546    771    956
      1057   1142    935   1039    796    891    991    718    815    635
       733    625    720    703    808    893    817    991    737    826
      1034   1243    985   1342   1139   1084    923    831   1092   1183
       991    916   1032   1174   1221   1531   1324   1351   1095   1011
      1096   1177   1106   1205   1348   1392   1521   1491   1427   1277
      1203   1854   1613   1578   1426   1597   2157    552    764    854
  6    326    368    506    490    185      0     95    154    190    313
       607    785    601    544    179    350    271    361    697    882
       983   1068    752    856    613    707    808    534    630    450
       548    440    535    629    734    819    633    917    552    642
       851   1169    802   1268    954    897    739    647    902    993
       807    732    848    988   1034   1340   1138   1167    910    827
       911    992    922   1021   1164   1208   1337   1307   1243   1092
      1018   1670   1429   1393   1242   1412   1972    478    690    780
  7    421    463    601    586    280     95      0    209     95    218
